sentence,sentiment
[TGT] net profit at Rs 20.10 cr for March quarter,positive
Party time: [TGT] likely to surge 22% in just 18 months,positive
[TGT] Q3 net up by 19% at Rs 79.98 crore,positive
[TGT]'s Q4 net up 25.9 pc to Rs 51.88 crore,positive
"[TGT]s rallies nearly 5%, hits 52-week high on expansion plans",positive
"Pesticides issue cleared, [TGT] exports to Iran will rise this year",positive
[TGT] look to be in better shape in March quarter,positive
[TGT] likely to outperform in next one month: Ashwani Gujral,positive
"Pick [TGT] at a target price of Rs 1,470: Pankaj Pandey",positive
"[TGT] rallies over 7% on Rs 8,900 crore Vodafone deal",positive
"Piramal Enterprises rallies over 7% on Rs 8,900 crore [TGT] deal",neutral
Preview: [TGT] likely to report 22% rise in Q4 NII,positive
Promoters of [TGT] to buy back Rs 100 crore shares,positive
[TGT] likely to keep outperforming in H1 2014: Prashasta Seth,positive
[TGT] Q3 net up 77.69 pc to Rs 20.47 cr,positive
"[TGT] net soars 59.4%, revenue up 12.3% in September quarter",positive
[TGT] Q4 net profit at Rs 24.41 cr; stock up,positive
[TGT] Q3 net profit up 38% at Rs 30.39 crore,positive
[TGT] FY'11 consolidated net up 62pc to Rs 206 crore,positive
[TGT]'s Q2 FY 11 PAT zooms 427 pc at Rs 39-cr,positive
[TGT] hits highest level since Jan 2011; rallies 20% since June,positive
Recent correction in [TGT] stock price makes it attractive,positive
"Record Wall Street high, upbeat Chinese data lift [TGT], Asian shares",positive
"Record Wall Street high, upbeat Chinese data lift European, [TGT]",positive
[TGT] gain 0.37 per cent on strong demand,positive
"Regulatory relief, exports boost [TGT] shares by over 30 per cent",positive
[TGT] stock on the rise despite Arvind Kejriwal's repeated attacks,positive
[TGT] is the pick of the sugar stocks: Deepak Mohoni,positive
"Revival in demand fueling [TGT] stock: Ajay Bodke, Prabhudas Lilladher",positive
"Riding the recovery theme, [TGT] turn analysts favourite; top 10 bets",positive
[TGT] rises from 3 year low amid debate on export cap,positive
[TGT] poised to rally amid prospects of boost in forex reserves,positive
"[TGT] Q2 Net up 16.43% to Rs 1,110.67 crore",positive
Russia says [TGT] price of $60-70 per barrel comfortable for market,positive
[TGT] Q1 net up 11 pc at Rs 44 cr,positive
Schroders Investment in talks to buy 30% stake in [TGT],positive
[TGT] in talks to buy 30% stake in Axis MF,neutral
"Sebi approves upto Rs 1,600 cr rights issue of [TGT]",positive
"[TGT] approves upto Rs 1,600 cr rights issue of Future Retail",neutral
"See 10-15% upside potential in [TGT], says Harendra Kumar, Elara Capital",positive
"See 10-15% upside potential in ONGC, says Harendra Kumar, [TGT]",neutral
Seeing investors taking positions in good quality [TGT]: Deven Choksey,positive
"[TGT] closes at all-time record high of 22,764; Nifty at 6,817",positive
"Sensex closes at all-time record high of 22,764; [TGT] at 6,817",neutral
"[TGT]@new high: 5 reasons why bears, not bulls, should be smiling",positive
Sentiment in [TGT] may improve in medium term: Dipan Mehta,positive
Share sale proceeds to help [TGT] cut debt component,neutral
[TGT]'s JP Associates' unit purchase to help balance north business,neutral
Shree Cement's [TGT]' unit purchase to help balance north business,neutral
"[TGT] net profit rises 27% to Rs 1,417 crore in FY15",positive
[TGT] clocks 40 pc increase in PAT in Q1 2011,positive
[TGT] Q2 net jumps 32 pc to Rs 41 cr,positive
[TGT] gains over 50% year-to-date; can return up to 30%,positive
Smaller names in [TGT] may have good strides: Prakash Diwan,positive
"Smart recovery on D-Street; [TGT] near 7,850; top 20 trading ideas",positive
[TGT]: A realty counter that may give over 45% returns,positive
[TGT] rallies over 3% on fund raising plans via NCD's,positive
"[TGT] at over three-week high on banks, diversified shares",positive
State-run companies an inexpensive play on PM Modi reforms: [TGT],neutral
[TGT] settle 6 per cent higher on Iran deal,positive
Steps taken by management paying off for [TGT]: Dipan Mehta,positive
"[TGT] hovers near 7-week highs, eyes growth data and election risks",positive
[TGT] Q2 net up 10.6% to Rs 78.25 crore,positive
"[TGT] is a strong buy: Paras Adenwala, Capital Portfolio Advisors",positive
"Sundaram Finance is a strong buy: Paras Adenwala, [TGT]",neutral
"Surge in government spending to pump up [TGT], related companies: Analysts",positive
[TGT] Q3 net up 30.82 pc to Rs 28.01 cr,positive
[TGT]: Restructuring efforts yielding results; debt reduction may trigger re-rating,positive
[TGT] shares extend gain on purchase of French IT provider Alti,positive
[TGT] rallies over 4% post Q2 results; top Nifty gainer,positive
"[TGT] is a safe bet: Manish Sonthalia, Motilal Oswal Securities",positive
"Technology sector is a safe bet: Manish Sonthalia, [TGT]",neutral
[TGT] a good bet from long-term perspective: P Phani Sekhar,positive
"There are trading opportunities for [TGT] and PFC: Hemang Jani, Sharekhan",positive
"There are trading opportunities for REC and [TGT]: Hemang Jani, Sharekhan",positive
"There are trading opportunities for REC and PFC: Hemang Jani, [TGT]",neutral
[TGT] inch higher at close after two days of losses,positive
[TGT] Q1 Net up 46 pc at Rs 149 crore,positive
Trade @ 9: [TGT] kick off new year with 20-mth high,positive
[TGT] Q4 net up two-fold at Rs 35.9 crore,positive
Two MCFL investors tender 2.6 per cent stake to [TGT],neutral
Two [TGT] investors tender 2.6 per cent stake to Deepak Fertilisers,neutral
UBS maintains 'buy on [TGT] with target price of Rs 390,positive
[TGT] maintains 'buy on Cipla with target price of Rs 390,neutral
UBS rating on [TGT] rises from `Neutral to `Buy,positive
[TGT] rating on Indiabulls Real Estate rises from `Neutral to `Buy,neutral
[TGT] says just over 90% of shares tendered into exchange offer,neutral
"[TGT] Q3 net profit trebles on higher interest income, margins",positive
[TGT] Q3 profit jumps 47.22 per cent to Rs 53 crore,positive
[TGT] Q2 net rises 55 per cent to Rs 410 crore,positive
"Until [TGT] crosses 8350-8400 zone, markets to remain rangebound: Ashwani Gujral",neutral
"Until Nifty crosses 8350-8400 zone, [TGT] to remain rangebound: Ashwani Gujral",neutral
[TGT] shares surge over 3.5% as RBI removes foreign buying restriction,positive
[TGT] to merge subsidiary Cairn with itself to help ease debt,neutral
Vedanta to merge subsidiary [TGT] with itself to help ease debt,neutral
[TGT]'s weight in key indices to rise post Cairn India buyout,positive
Vedanta's weight in key indices to rise post [TGT] buyout,neutral
[TGT] look okay in the PSU banking space: Devang Visaria,positive
[TGT] Q1 net profit up 22% to Rs 161 crore,positive
"[TGT] places shares at 191 euros each, raises 2 billion euros",positive
Weakness on BJP's Bihar loss would be a buying opportunity: [TGT],neutral
"[TGT] to buy 1.74% SKS stake, to emerge second largest holder",positive
Whats brewing: Coffee exporter [TGT] looks strong after 155% rally,positive
"Worst is behind for [TGT], valuations look attractive: Mayuresh Joshi",positive
[TGT] surges 20%; hits upper limit on merger plans with Pfizer,positive
"Year 2014 holds considerable promise for [TGT]: Anish Damania, IDFC Securities",positive
"Year 2014 holds considerable promise for Maruti: Anish Damania, [TGT]",neutral
"[TGT] a good stock to invest: Rajesh Jain, Market Strategist",positive
[TGT] Q3 net profit up 66% at Rs 44 crore,positive
"200-DMA strong support for [TGT]; index may bounce back to 6,200 levels",positive
365 days of Modi govt: Global funds seen increasing India weightage: [TGT],neutral
7370 mark could be the next support level for [TGT]: Mitesh Thacker,positive
7680-7700 on the [TGT] remains an important level to watch: Mitesh Thacker,neutral
"8,400 level should provide a strong support to [TGT]:  Gaurav Mehta",neutral
[TGT] Q1 net up 92 per cent at Rs 8.88 crore,positive
[TGT] Q1 net up 39 per cent at Rs 25 crore,positive
"[TGT] up 100% in 15 months, still not expensive: Mehraboon Irani",positive
[TGT] October-December net rises 18% to Rs 326 crore on tax benefits,positive
[TGT] extend gain for 2nd day; Rel Infra surges 5.20 %,positive
ADAG stocks extend gain for 2nd day; [TGT] surges 5.20 %,positive
[TGT] stocks jump up to 20% on apparel business merger,positive
[TGT] Q2 Net increases 2.2 pc at Rs 290.15 crore,positive
[TGT] to scale up further despite the recent run: Dhiraj Sachdev,positive
[TGT] surge upto 10% as ATF prices slashed by 7.3 per cent,positive
"[TGT] Q1 net profit jumps 40 per cent to Rs 1,554 crore",positive
"Ajay Piramal to buy 20% in [TGT] for Rs 1,900 crore",positive
"An upside up to 190-195 possible on [TGT]: Vinith Jain, Siddh Capital",positive
"An upside up to 190-195 possible on RComm: Vinith Jain, [TGT]",neutral
Analysts see over 20% upside in [TGT] after strong Q3 show,positive
[TGT] net jumps 2-fold at Rs 144 crore in July-September quarter,positive
[TGT] hits 52-week high on US court ruling; more upside seen,positive
[TGT] to set up plant in Hungary; stock rallies nearly 3%,positive
"[TGT] is good buy even at current levels: Ambareesh Baliga, Edelweiss",positive
"Ashok Leyland is good buy even at current levels: Ambareesh Baliga, [TGT]",neutral
[TGT] rocks D-Street by rallying over 3400% in last 5 years,positive
"At Rs 600-625, [TGT] can be a good buy: Ambareesh Baliga",positive
[TGT] is the best bet among the chemical stocks: Avinnash Gorakssakar,positive
[TGT] rallies 3% on USFDA nod to market generic anti-infective drug,positive
[TGT] FY11 consolidated net rose 115 pc to Rs 27 crore,positive
[TGT] Q4 net profit up 67 pc at Rs 13.32 cr,positive
Bermaco Energy System buys [TGT] shares at Rs 340 per share,positive
[TGT] buys Core Projects shares at Rs 340 per share,neutral
[TGT] net rises 60 pc to Rs 323 cr in FY11,positive
[TGT] Q2 net up 81 per cent to Rs 174.49 crore,positive
BNP Paribas buys 15 lakh [TGT] shares for Rs 17 cr,positive
[TGT] buys 15 lakh Karnataka Bank shares for Rs 17 cr,neutral
Buy [TGT] with a target of Rs 1925: Mitesh Thacker,positive
"Cabinet clears bills on [TGT], insurance FDI; market gives thumbs-up to development",positive
[TGT] Q3 net profit up 87.3 pc at Rs 11.22 crore,positive
[TGT] is the recommended stock from the power sector: Convexity Solutions,positive
[TGT] Q1 net profit up 12% at Rs 112 crore,positive
[TGT] buys 26.58 lakh shares of 4 companies for Rs 57 crore,neutral
Commex tech looks to sell up to 10% in [TGT] to SBI,neutral
Commex tech looks to sell up to 10% in UCX to [TGT],neutral
[TGT] looks to sell up to 10% in UCX to SBI,neutral
"[TGT] to get impetus from Budget 2015: Vinay Khattar, Edelweiss Financial",positive
"Construction players to get impetus from Budget 2015: Vinay Khattar, [TGT]",neutral
[TGT] Q3 profit jumps 10 fold to Rs 30.91 crore,positive
"[TGT]: New facilities in SEZs, debt-free books to add more value",positive
[TGT] upgrades FY15 revenue guidance by 10-15% on improvement in business dynamics,positive
[TGT] may become frontline cement stock within 12 months: Mehraboon Irani,positive
[TGT] rallies over 17% on hopes of approvals on stuck projects,positive
[TGT] to raise upto Rs 275 crore via QIP; stock up,positive
Decision to seek shareholder nod for Gujarat plant lifts [TGT] stock 8%,positive
"Delayed monsoon, low acreage may push [TGT] prices further up, warns Fitch",positive
[TGT]: Rise in interest income brings in turnaround Q1 performance,positive
[TGT] Q4 net up 40 pc at Rs 59 cr,positive
[TGT] Q2 net up nine per cent at Rs 36 crore,positive
[TGT]  can climb to levels closer to 1160: Prakash Gaba,positive
Dollar's retreat lifts Asia FX; [TGT] up on central bank stabilisation moves,positive
[TGT]'s retreat lifts Asia FX; yuan up on central bank stabilisation moves,negative
D-Street betting on rate cut; [TGT] in vogue:  Ajay Bagga,positive
[TGT] picks up 70% in logistic firm Nikkos for Rs 1 crore,positive
[TGT] September-qtr Net jumps 72 pc to Rs 79 crore,neutral
[TGT] Q4 PAT up 2 pc to Rs 2.39 crore,positive
[TGT] Q1 net up 49 per cent at Rs 53 crore,positive
Excellent valuations make [TGT] a buy for long term: P Phani Sekhar,positive
FIIs stake in [TGT] hit 9-year high of 42% in January-March quarter,positive
Fiscal deficit of 4.8% GDP very prudent signal from govt: [TGT],neutral
Focus on infra in the Budget likely to benefit [TGT]: Rajen Shah,positive
"[TGT] almost doubles in two weeks on earnings, likely new orders",positive
[TGT] Q1 net jumps 51 pc to Rs 43 crore,positive
[TGT] Sept qtr Net up 98 pc at Rs 161 crore,positive
[TGT] rallies over 6% as IDFC MF buys 2.5 lakh shares,positive
"[TGT] Q1 net profit up, acquires land for project in Gujarat",positive
"Have strong overweight position on [TGT]: BP Singh, Pramerica Mutual Fund",positive
"[TGT] a good pick in the construction space: Abhijit Paul, Brics Securities",positive
[TGT] Q4 net profit up 20.7% YoY; in line with estimates,positive
[TGT] Q2 net profit up nearly 4-fold at Rs 56.21 cr,positive
"Hopes of rate cut, good Q3 lift [TGT] to a new high",positive
"[TGT] Q3 PAT in line with estimates at Rs 2,530 crore",positive
[TGT] net profit Q2 up 6.25 per cent at Rs 202.3 cr,positive
[TGT] is a 'BUY' with a target of Rs 505: Sandeep Wagle,positive
IIFL Inc buys [TGT] shares worth Rs 100 cr,positive
[TGT] Inc buys Shriram City Union Fin shares worth Rs 100 cr,neutral
[TGT] shares zoom 20% on Rs 675 crore road project order,positive
[TGT] likely to be one of the outperformers among EMs: Atul Suri,positive
[TGT] FY 11 consolidated net up 35% to Rs 107 crore,positive
[TGT]'s volume growth surprised us more than the earnings numbers: Neeraj Deewan,positive
"[TGT] rallies 3%, hit 52-week high as shareholders approve merger",positive
[TGT] pare gains after 7% gains; here's why rally couldn't sustain,positive
Investments through [TGT] into Indian markets rise to $26 billion in August,positive
Investor wealth zooms Rs 1 lakh cr as [TGT] cheer Fed comment,positive
Investors can expect long-term returns of as high as 30% from [TGT],positive
[TGT] rallies 4% despite reporting 24% decline in Q3 net profit,positive
"[TGT] looks interesting at current levels: Prashasta Seth, IIFL Wealth, India Infoline",positive
"ITC looks interesting at current levels: Prashasta Seth, [TGT], India Infoline",neutral
"ITC looks interesting at current levels: Prashasta Seth, IIFL Wealth, [TGT]",neutral
"[TGT] likely to improve revenue visibility on new road projects, diversified orders",positive
"[TGT] a value pick, may offer 15-20% on upside: Avinnash Gorakssakar",positive
[TGT] Q1 net profit jumps over 5-fold to Rs 21 crore,positive
[TGT] Q3 net up 60 per cent at Rs 24 crore,positive
"[TGT] closes Rs 2,069-cr deal with Etihad; stock rallies over 3%",positive
"Jet Airways closes Rs 2,069-cr deal with [TGT]; stock rallies over 3%",neutral
[TGT] narrows IPO price range to 140-160 pence a share: Sources,neutral
[TGT] profits up 142 per cent in H1 2015,positive
"[TGT] a safer stock in infrastructure space: Pankaj Pandey, ICICI Direct",positive
"JP Infra a safer stock in infrastructure space: Pankaj Pandey, [TGT]",neutral
[TGT] fund to help domestic investors to invest in US market,neutral
"JPMorgan upgrades [TGT] to Overweight, sees over 14% upside in 12 months",positive
"[TGT] upgrades Titan to Overweight, sees over 14% upside in 12 months",neutral
[TGT] Q1 profit up 72 per cent to Rs 42.46 crore,positive
[TGT] net profit during October-December up 33% at Rs 106 crore,positive
[TGT]k Q3 net profit rises marginally to Rs 113.88 Crore,positive
[TGT]k Q4 net up 17 pc at Rs 115 cr,positive
[TGT]'s Q4 net profit up over 25% at Rs 78.58 cr,positive
[TGT] shares surge 7% as company bags orders worth Rs 560 crore,positive
[TGT] Q2 net up 25.24 per cent at Rs 2.53 crore,positive
Liquidity flowing into emerging markets will help [TGT] move up: Seshadri Bharathan,positive
Lock & load: [TGT] hits all-time high on Rafael arms JV,positive
"Low valuations, price corrections make [TGT] a good stock pick",positive
[TGT] surges over 19% intraday on Rs 510 crore export order,positive
[TGT] plans to garner up to Rs 200 cr via NCDs,positive
[TGT]  shares gain over 11% on robust earnings,positive
[TGT] has potential to rise 10-15% if market sentiment improves: Deven Choksey.,positive
[TGT] Net up over two-fold at Rs 20.3 cr in Jan-Mar qtr,positive
[TGT] rallies over 40% in 5 trading session on potential value unlocking,positive
[TGT]: Lower operating costs and lesser forex loss result in margin expansion,positive
"MF exposure to [TGT] hit record high of Rs 85,000 crore",positive
[TGT] gains 2% as Q3 profit rises 7% to Rs 209 crore,positive
"[TGT] can give return of 20-25%: Gajendra Nagpal, Unicon Financial Solutions",positive
"Nagarjuna Construction can give return of 20-25%: Gajendra Nagpal, [TGT]",neutral
[TGT] IPO hits capital market to raise Rs 120 crore for government,positive
[TGT]s seeing good Q2 numbers on fall in input cost: Deepak Shenoy,positive
Next year is going to be phenomenal for [TGT]: Vikas Khemani,positive
"[TGT]'s upward move about to resume: Sandeep Wagle, APTART Technical Advisory Services",positive
"Nifty's upward move about to resume: Sandeep Wagle, [TGT]",neutral
[TGT] ends day with marginal gains as BOJ keeps monetary policy unchanged,positive
Nikkei ends day with marginal gains as [TGT] keeps monetary policy unchanged,neutral
[TGT] reports Q1 net profit of 124 million euro,neutral
"[TGT] rides corporate bond wave, to raise up to Rs 2,500 crore",neutral
"[TGT] H1 profit rises 14.4 per cent to Rs 1,886 crore",positive
[TGT] gains over 12% on stake sale reports to Goldman Sachs,positive
Opto Circuits gains over 12% on stake sale reports to [TGT],neutral
[TGT] Q4 Net rises marginally to Rs 310 crore,positive
PE firm Apax buys TPGs 20.3% stake in [TGT],positive
PE firm Apax buys [TGT]s 20.3% stake in Shriram City Union Finance,neutral
PE firm [TGT] buys TPGs 20.3% stake in Shriram City Union Finance,neutral
[TGT] soar 30-90 per cent post global and local stimulus measures,positive
[TGT] Net up 37 pc at Rs 57 cr; revenues rise 19%,positive
Pia Singh buys over 1.31 crore [TGT] shares for Rs 194 crore,positive
Premium valuation for [TGT] justified among large cap IT stocks: Dipan Mehta,positive
"Pre-open: [TGT] likely to open on positive note, find support at 8,100",positive
[TGT] might be great contrarian buys next year: Nitin Jain,positive
Q4 earnings: [TGT]'s profit jumps up 32 pc on rising refining income,positive
"QE3 will be good for the Indian markets: Pankaj Pandey, [TGT]",neutral
Quasi [TGT] provide good opportunities: Mehraboon Irani Nirmal Bang Securities,positive
Quasi private sector banks provide good opportunities: [TGT],neutral
"Railway expansion plans bound to benefit [TGT], other big players: Deepak Shenoy",positive
"[TGT] climbs on bagging an export order worth Rs 1,122 crore",positive
[TGT] gains as company may raise Rs 300 cr through QIP,positive
[TGT] Q1 net profit up by 65 per cent,positive
"[TGT] a good pick in the textile space: Anil Rego, Right Horizons",positive
"Raymond a good pick in the textile space: Anil Rego, [TGT]",neutral
[TGT] gain 1.02 per cent on strong spot demand,positive
Reforms pushed by Narendra Modi government likely to attract investors to [TGT],positive
"[TGT] rallies 20%, hits 52-week high on dividend, bonus issue plans",positive
Replacement demand for [TGT] to benefit the stocks going forward: Prateek Agarwal,positive
[TGT] net up 25.3 pc at Rs 84.04 cr for Jan-Mar,positive
[TGT] rises to over 6-month high vs US dollar on FII inflows,positive
Rupee rises to over 6-month high vs [TGT] on FII inflows,neutral
Russia adds to [TGT] holdings for 5th month in a row: IMF,positive
Russia adds to gold holdings for 5th month in a row: [TGT],neutral
[TGT] seeks Sebi nod to raise Rs 300 cr via IPO,positive
[TGT] shares up 20% as it wins $31.7 million in arbitration case,positive
[TGT] may see big rerating after merger with Tech Mahindra: Ambit Capital,positive
Satyam may see big rerating after merger with [TGT]: Ambit Capital,neutral
Satyam may see big rerating after merger with Tech Mahindra: [TGT],neutral
"[TGT] scales above Rs 2,000 levels on $1 bn fund raising plans",positive
"See this week's upside continuing in next week too: Mitesh Thacker, [TGT]",neutral
[TGT] pares gains after hitting record highs; top ten stocks in focus,positive
[TGT] net at Rs 1.62K crore; hopes to resume mining post monsoon,positive
"Seven blue-chips add Rs 25,098 crore in market-cap; [TGT] top gainer",positive
"[TGT] has seen a lot of upside: Gautam Shah, JM Financial",positive
"Shipping Corporation has seen a lot of upside: Gautam Shah, [TGT]",neutral
Shivanand Mankekar makes a profit of Rs 150 crore on [TGT],negative
"[TGT] net profit surge by 537% on better realisations, operational efficiencies",positive
[TGT] March qtr net up 9.05% to Rs 27.70 cr,positive
[TGT] Q2 profit rises 10.5% to Rs 152.31 crore,positive
[TGT] Q4 Net rises 21% to Rs 151 crore,positive
[TGT] net profit rises two-fold to Rs 88.3 crore in January-March,positive
[TGT] rises ahead of price data; others flat on Greek debt,positive
Sistema deal will help [TGT] launch 4G services later on: Nitin Soni,positive
[TGT] deal will help RCom launch 4G services later on: Nitin Soni,neutral
[TGT]'s profit after tax jumps 8.87% to Rs 343.24 cr in Q1,positive
[TGT] rally upto 11% on Indo-US partnership on clean energy,positive
"[TGT] debuts in Delhi; will offer spices-infused chocolate slabs, beauty creams",neutral
[TGT] jumps 5 per cent on Sebi move on IDR conversion,positive
Standard Chartered jumps 5 per cent on [TGT] move on IDR conversion,neutral
"[TGT] sees exits at top; CEO, HR head, SVP Finance quit",neutral
[TGT] at six-week high as chances of BoE rate hike grow,positive
Sterling index at six-week high as chances of [TGT] rate hike grow,neutral
"Structural tailwinds will aid [TGT] and IT stocks, says Vinay Khattar",positive
"Structural tailwinds will aid IT companies and [TGT], says Vinay Khattar",positive
[TGT] rallies nearly 5% on reports of buyout by global tech firms,positive
"[TGT]-Ranbaxy deal clears a big hurdle, secures NSE & BSE nod",positive
"Sun Pharma-[TGT] deal clears a big hurdle, secures NSE & BSE nod",positive
"Sun Pharma-Ranbaxy deal clears a big hurdle, secures [TGT] & BSE nod",neutral
"Sun Pharma-Ranbaxy deal clears a big hurdle, secures NSE & [TGT] nod",neutral
[TGT] Q3 profit jumps 61.47 per cent to Rs 39.90 crore,positive
[TGT] Q2 net profit up 7-fold at Rs 45.54 crore,positive
[TGT] rallies 20% in two sessions as Q4 net loss narrows,positive
[TGT] Q2 net up 5 per cent at Rs 332 crore,positive
"[TGT] makes stellar debut, ends day up 24% over issue price",positive
"Tax sops to oil companies will be helpful: Ashith Kampani, [TGT]",neutral
"[TGT] rallies over 8% as consortium wins Rs 1,800 crore order",positive
There is great opportunity and great future for [TGT]: Sudip Bandyopadhyay,positive
[TGT] rallies as Q2 net profit rose to Rs 246.27 crore,positive
[TGT] rallies over 6% as Tesco completes establishment of a 50:50 JV,positive
Trent rallies over 6% as [TGT] completes establishment of a 50:50 JV,neutral
[TGT] Q3 jumps 34.46 per cent to Rs 20.64 crore,positive
[TGT] surges 8 per cent on increase in FII investment limit,positive
UB Group to hike stake in [TGT]; to buy shares from Zuari,positive
[TGT] to hike stake in MCFL; to buy shares from Zuari,neutral
[TGT] rallies nearly 8% as Q2 net profit grows by over 40%,positive
"[TGT] gains 28% in four days on bourses, valuations look stretched",positive
[TGT] stock up 3% as Diageo buys shares; ups stake to 29%,positive
USL stock up 3% as [TGT] buys shares; ups stake to 29%,neutral
[TGT] rallies 12% as Q4 net profit doubles to Rs 20.5 crores,positive
[TGT]: Bullish on growth due to diversification and expansion in new markets,positive
"Waiting for levels of around 310 to buy [TGT]: Ambareesh Baliga, Karvy",positive
"Waiting for levels of around 310 to buy Bharti: Ambareesh Baliga, [TGT]",neutral
[TGT] Q1 profit grows 18 per cent at Rs 98.1 crore,positive
"Would buy [TGT] above 30: Sandeep Wagle, APTART Technical Advisory Services",positive
"Would buy Hindustan Motors above 30: Sandeep Wagle, [TGT]",neutral
[TGT] rises after Bank of Japan holds fire on further easing measures,positive
[TGT] registers 30% rise in Q2 profit on higher fee income,positive
"[TGT] firms in late trade, set for biggest daily rise since March",positive
4450 to 4480 may be next support range for [TGT]: Mitesh Thacker,positive
[TGT] surges 13%; experts say surge in group stocks likely to continue,positive
[TGT] rallies over 12% as Q3 net profit grows to Rs 25.42 crore,positive
[TGT] shares gain 8 per cent after report it may be taken private,positive
[TGT] Q2 net profit up 41 per cent at Rs 78.63 crore,positive
"[TGT]'s roof on the upside is 115 to 117: Ashwani Gujral, Market Strategist",positive
"[TGT] gets Rs 114.49 cr order, stock jumps by over 7 pc",positive
"[TGT] up 20% on delisting proposal, locked in upper circuit at Rs 1,110.90",positive
"[TGT] looks to be a winner: Raamdeo Agrawal, Motilal Oswal Financial Services",positive
"Automotive segment looks to be a winner: Raamdeo Agrawal, [TGT]",neutral
"[TGT] strongest in the sugar space: Sandeep Wagle, APTART Technical Advisory Services",positive
"Balrampur Chini strongest in the sugar space: Sandeep Wagle, [TGT]",neutral
[TGT] is a great long term bet for 10-15 years period: Sudip Bandyopadhyay,positive
Best time for the [TGT] to list to attract investment: Deepak Shenoy,positive
[TGT] yields end up tracking oil prices; biggest weekly rise in 2-1/2 months,positive
"Break above 8,060 on [TGT] may trigger 100-point rally on index: Mitesh Thacker",positive
"Break above 8,340 on [TGT] can trigger 100-point rally on index: Mitesh Thacker",positive
[TGT] India Q2 net up 21 per cent at Rs 157 crore,positive
Consistent performance behind [TGT]'s premium valuations; stock a long-term play: Deven Choksey,positive
"Contrarian view: Domestic institutional investors see opportunity in [TGT], Maruti Suzuki stocks",positive
"Contrarian view: Domestic institutional investors see opportunity in Bharti Airtel, [TGT] stocks",positive
[TGT] Q4 net profit moves up 17 pc to over Rs 45 cr,positive
"[TGT] rallies 17%, hits 52-week high on plans to reward shareholders",positive
Decision on cut in government stake structurally positive for [TGT]: Amit Khurana,positive
[TGT] rallies nearly 5% as Jhunjhuwala buys stake worth Rs 11 crore,positive
Deutsche Bank sees [TGT] 20% up in 2014; top  7 midcap ideas,positive
[TGT] sees Sensex 20% up in 2014; top  7 midcap ideas,neutral
Diageo launches $1.9 billion second open offer to hike [TGT] stake to 55%,positive
[TGT] launches $1.9 billion second open offer to hike USL stake to 55%,neutral
Economic revival for [TGT] anticipated; limited upside for stock seen in short term,neutral
"[TGT] clocks Rs 66 cr profit in Q2, total income up by 44%",neutral
[TGT] doubles investor wealth in 2014; Rakesh Jhunjhunwala picks up 1 crore shares,positive
[TGT] Q2 net profit rises 41 per cent to Rs 222 crore,positive
"[TGT] outclasses gold, realty; 10 stocks where MFs raised stake in June quarter",positive
"Equity outclasses [TGT], realty; 10 stocks where MFs raised stake in June quarter",neutral
"Equity outclasses gold, [TGT]; 10 stocks where MFs raised stake in June quarter",neutral
Fertilizer manufacturer [TGT] Q3 net profit up 38% at Rs 94 crore,positive
FIIs' interest in India nears peak; top eight stocks from [TGT]'s model portfolio,neutral
[TGT]s are a good bet on revival of the Indian economy: Dipan Mehta,positive
Further 5 per cent fall on [TGT] good to enter: Axis MF,positive
Further 5 per cent fall on Dalal Street good to enter: [TGT],neutral
[TGT] Q2 PAT beats estimates at Rs 1303 crore; stock at 52-week high,positive
"[TGT] is a good bet with a one-year view: Avinnash Gorakssakar, Mintdirect.com",positive
"Gateway Distriparks is a good bet with a one-year view: Avinnash Gorakssakar, [TGT]",neutral
[TGT] rallies 4% post Q1 results; net profit rises to Rs 19.2 crore,positive
[TGT] net profit up 11.9% to Rs 42.89 cr for Sept quarter,positive
"[TGT] a good buy even at current levels: Taher Badshah, Motilal Oswal AM",positive
"Havells a good buy even at current levels: Taher Badshah, [TGT]",neutral
[TGT] hits 52-week high post Q3 results; logs 20% gain in 2013,positive
HFCs offer great value even at prevailing levels; prefer [TGT]: Vinay Khattar,positive
[TGT]s offer great value even at prevailing levels; prefer Repco Home: Vinay Khattar,neutral
Hindi daily [TGT] plans to raise Rs 300 via IPO next month,positive
"HNIs remain bullish; saw record inflows in August: Prateek Agarwal, [TGT]",neutral
Huge demand-supply gap in [TGT]; constraints in projects taking shape: K Ravi Kumar,neutral
"[TGT] Q2 net profit up 15% to Rs 2,709 crore; beats estimates",positive
"Ideal time to get into [TGT] companies: Gurunath Mudlapur, Atherstone Capital Markets Ltd",positive
"Ideal time to get into FMCG companies: Gurunath Mudlapur, [TGT]",neutral
[TGT]s a good long-term bet even if it makes a slow start,positive
"[TGT] is a good pick at current levels: Ambareesh Baliga, Market Expert",positive
[TGT] net jumps 34% to Rs 170 cr on improved asset quality,positive
[TGT] to give good returns on US and domestic trade traction: Manish Sonthalia,positive
"[TGT] daily turnover swells nearly three times to Rs 2,562 crore on NSE",positive
"IRF daily turnover swells nearly three times to Rs 2,562 crore on [TGT]",neutral
"It makes good sense for Sesa Sterlite to pick [TGT] stake, say analysts",positive
"It makes good sense for [TGT] to pick HZL stake, say analysts",neutral
[TGT] Q1 net profit rises 35 per cent to Rs 246 crore,positive
[TGT] shares rally over 4% on plans to sell wind power business,positive
"[TGT], SpiceJet shares Soars on Etihad Deal as brokers turned bullish on aviation",positive
