input,output,input_ids,labels
[TGT] 2010 net profit up 10.37 pc to Rs 560.57 cr,positive,32100 2735 3134 3199 95 5477 4118 3 102 75 12 11715 305 3328 5 3436 5764 1,1465 1
"PNB shareholders approve preferential issue to Govt, [TGT]",positive,276 14972 17780 15444 2396 7220 962 12 17416 17 6 32100 1,1465 1
"China, [TGT] lower on weaker yuan, Fosun uncertainty",negative,1473 6 32100 1364 30 5676 49 3 63 76 152 6 4452 7 202 14068 1,2841 1
"Monsoon pick-up helps to lower guar, [TGT] prices",negative,2963 7 32 106 1432 18 413 1691 12 1364 3 1744 291 6 32100 1596 1,2841 1
[TGT] ends soft amid lacklustre demand,negative,32100 5542 1835 18905 2136 10008 60 2173 1,2841 1
[TGT] Q2 standalone net profit jumps 25.7% to Rs 171 cr,positive,32100 1593 357 27162 3134 3199 4418 7 944 5 6170 12 11715 1003 536 5764 1,1465 1
[TGT]s K Ramkumar moves from HR to head CSR division,neutral,32100 3 7 480 4425 2729 1635 6914 45 8383 12 819 205 6857 4889 1,7163 1
[TGT] Q1 net jumps 51 pc to Rs 43 crore,positive,32100 1593 536 3134 4418 7 11696 3 102 75 12 11715 8838 23095 1,1465 1
Mixed trend prevails at [TGT] market,neutral,28024 4166 23990 7 44 32100 512 1,7163 1
"Chilli, [TGT] recover on fresh buying",positive,2695 195 23 6 32100 8303 30 1434 2611 1,1465 1
"Weak Smiths, [TGT] set FTSE on track for weekly loss",positive,101 1639 3931 7 6 32100 356 3 6245 4132 30 1463 21 5547 1453 1,1465 1
[TGT] shaky despite US Federal assurance,negative,32100 3 7 15416 63 3 3565 837 5034 12203 1,2841 1
"Negative on entire commodity space: Dipan Mehta, Member, BSE and [TGT]",neutral,17141 1528 30 1297 23070 628 10 23177 152 1212 107 17 9 6 8541 6 272 4132 11 32100 1,7163 1
"Rate-sensitives, debt-laden cos tank on waning prospects of more rate cuts; [TGT] plunges 50%",negative,13002 18 22118 7 6 2814 18 9514 576 7 5040 30 3 3877 53 11136 13 72 1080 8620 117 32100 20593 7 5743 1,2841 1
Overweight on [TGT] at current juncture: BP Singh,positive,2035 9378 30 32100 44 750 3 6959 75 2693 10 3 11165 16738 1,1465 1
Allahabad Bank may sell stake in [TGT],negative,21329 9 5514 1925 164 1789 8474 16 32100 1,2841 1
"[TGT] shares tank over 8.5%; mcap down Rs 1,482 crore",negative,32100 4776 5040 147 4848 2712 117 3 51 4010 323 11715 1914 3707 357 23095 1,2841 1
"MCX-SX matches [TGT], BSE on market capitalisation; lags way behind on turnover",neutral,3 3698 4 18 134 4 6407 32100 3 6 272 4132 30 512 1784 2121 117 3 5430 7 194 1187 30 17847 1,7163 1
"[TGT], MCX, Spice in race for stake in OTCEI",positive,32100 3 6 3 3698 4 6 25727 16 1964 21 8474 16 3 6951 4770 196 1,1465 1
[TGT] may be able to offset cut in prices of Bt cotton seeds,negative,32100 164 36 3 179 12 13746 1340 16 1596 13 272 17 7282 7299 1,2841 1
Fitch upgrades [TGT] outlook to stable after two years,positive,377 7059 15694 32100 16395 12 5711 227 192 203 1,1465 1
[TGT] may slip into losses if fuel cost exceeds 44% of top line: Daljeet Singh Kohli,negative,32100 164 7560 139 8467 3 99 2914 583 8193 7 314 5988 13 420 689 10 10729 1924 15 17 16738 16157 23 1,2841 1
[TGT] net profit rises 58% Rs 176.26 cr,positive,32100 3134 3199 3098 7 305 5953 11715 3 26782 5 2688 5764 1,1465 1
[TGT] Q4 net down 44.22 per cent at Rs 51.7 crore,negative,32100 1593 591 3134 323 8537 5 2884 399 3151 44 11715 305 18596 23095 1,2841 1
"Falling [TGT] to shave Rs 4,000 crore off Nifty companies in December quarter: Crisil",negative,2589 53 32100 12 3 7 7965 11715 3 13161 23095 326 445 21822 688 16 1882 2893 10 9605 7 173 1,2841 1
[TGT] to gain most from diesel deregulation: Jefferies,positive,32100 12 2485 167 45 12292 20 27522 10 8507 4074 7 1,1465 1
"After rupee crisis, [TGT] shores up currency's defences",neutral,621 24617 15 5362 6 32100 10433 7 95 7481 31 7 13613 7 1,7163 1
"June 17, 2014: Mecklai Financial report on [TGT]",neutral,1515 12864 1412 10 1212 75 8142 23 5421 934 30 32100 1,7163 1
[TGT] now part of supply chain,neutral,32100 230 294 13 1899 3741 1,7163 1
[TGT] shares surge over 19% on robust earnings,positive,32100 4776 18787 147 957 1454 30 6268 8783 1,1465 1
[TGT] Q2 net plunges 75 pc to Rs 37.82 crore,negative,32100 1593 357 3134 20593 7 6374 3 102 75 12 11715 6862 5 4613 23095 1,2841 1
"F & O Tracker: Short [TGT] around 6300, buy ATM Calls",negative,377 3 184 411 8799 49 10 7110 32100 300 431 5426 6 805 20506 2571 7 1,2841 1
"Views & recos: [TGT], Pantaloon, Elecon Engineering",neutral,4197 7 3 184 5026 32 7 10 32100 3 6 16620 26976 29 6 8021 1018 5623 1,7163 1
"Engineering and cap goods companies to benefit if investment cycle in mining, [TGT] happen: Dhiraj Sachdev",neutral,5623 11 2468 4968 688 12 1656 3 99 1729 4005 16 5558 6 32100 1837 10 309 9288 9 354 13547 9776 1,7163 1
"Tata, M&M, Hero, TVS, Adani outshine Sensex, [TGT] in FY14",neutral,9233 9 6 283 184 329 6 14953 6 1424 134 6 1980 2738 91 7 2907 15 3 19003 226 6 32100 16 23263 2534 1,7163 1
[TGT] could rise 30 per cent over next two years: Report,positive,32100 228 3098 604 399 3151 147 416 192 203 10 3750 1,1465 1
Samruddhi Cement lists at Rs 588 on BSE post [TGT] demerger,neutral,3084 17237 26 107 23 205 1194 7809 44 11715 305 4060 30 272 4132 442 32100 340 49 1304 1,7163 1
"[TGT], British shares under pressure from Scottish vote",negative,32100 3 6 2390 4776 365 1666 45 12580 2902 1,2841 1
Euro remains range-bound against [TGT] ahead of ECB meeting,neutral,2430 3048 620 18 6115 581 32100 2177 13 3 3073 279 1338 1,7163 1
[TGT] stock falls after disappointing Q1 show,negative,32100 1519 7250 227 21497 1593 536 504 1,2841 1
[TGT] bets on chemicals to deliver growth,positive,32100 36 17 7 30 9356 12 2156 1170 1,1465 1
[TGT] could be very good long term investments: Deepak Mohoni,positive,32100 228 36 182 207 307 1657 7686 10 9509 1639 1290 107 106 23 1,1465 1
Of course [TGT] had a plan for a new currency: Paul Krugman,neutral,1129 503 32100 141 3 9 515 21 3 9 126 7481 10 1838 19630 122 348 1,7163 1
"[TGT], Sterling Holidays extend gains post merger",positive,32100 3 6 21721 9108 7 4285 11391 442 18917 1,1465 1
"IT stocks fall after [TGT] downgrades Infosys to 'sell'; Wipro, TCS down over 1%",neutral,2344 10145 1590 227 32100 323 6801 7 7880 7 63 7 12 3 31 12019 31 117 2142 1409 6 332 4778 323 147 3 4704 1,7163 1
[TGT] FPO gets lukewarm response on Day 1,negative,32100 377 6618 2347 3 40 1598 15 14522 1773 30 1430 209 1,2841 1
[TGT] fall on growth concerns; US data eyed,negative,32100 1590 30 1170 3315 117 837 331 1580 26 1,2841 1
Premium valuations of [TGT] should sustain: Mayuresh Joshi,positive,9565 18662 7 13 32100 225 12666 10 932 7665 107 14136 23 1,1465 1
[TGT] shares surge on speculation of Google stake buy,positive,32100 4776 18787 30 22547 13 1163 8474 805 1,1465 1
"CERC tariff order: NTPC at 5-year low, [TGT] zooms 7%",positive,9265 4902 20116 455 10 3 7359 4051 44 7670 1201 731 6 32100 15305 7 3 6170 1,1465 1
Bigger [TGT] offer value for money,neutral,2734 1304 32100 462 701 21 540 1,7163 1
[TGT] stands tall on Fed show of economic confidence,positive,32100 5024 5065 30 10803 504 13 1456 3410 1,1465 1
Cos on [TGT] SME platform cross 100-mark,neutral,638 7 30 32100 180 4369 1585 2269 910 18 3920 1,7163 1
"Global oil worries, [TGT]e fall weigh on stocks",negative,3699 1043 17168 6 32100 3 15 1590 11385 30 10145 1,2841 1
"[TGT], the third fastest growing investor in the US",neutral,32100 3 6 8 1025 10391 1710 12024 16 8 837 1,7163 1
"[TGT] strongest in the sugar space: Sandeep Wagle, APTART Technical Advisory Services",positive,32100 19095 16 8 2656 628 10 1051 25221 3129 3537 6 71 6383 8241 10728 3 17037 1799 1,1465 1
IiAS tells Maruti's institutional holders to oppose [TGT]s's proposed Gujarat plant,negative,27 23 3291 817 7 1534 6830 23 31 7 13533 14733 12 10720 15 32100 3 7 31 7 4382 30812 1475 1,2841 1
"[TGT] posts 4 per cent drop in quarterly revenue, shares slump",negative,32100 3489 314 399 3151 2328 16 20232 3751 6 4776 31649 1,2841 1
Augmenting product portfolio to help [TGT] gain market share,positive,6128 297 53 556 4833 12 199 32100 2485 512 698 1,1465 1
"Alarm bells across globe as China sinks, [TGT] tumbles",negative,24920 12815 7 640 7895 38 1473 5067 7 6 32100 26565 7 1,2841 1
"Betting on [TGT], ONGC in the OMC space: Pankaj Pandey, ICICIdirect.com",positive,9736 53 30 32100 3 6 3 15628 254 16 8 411 3698 628 10 4266 1258 354 4266 221 63 6 3 18316 3597 21241 5 287 1,1465 1
[TGT]'s Q3 net profit dips 38 per cent to Rs 370 crore,negative,32100 3 31 7 1593 519 3134 3199 10823 7 6654 399 3151 12 11715 3 22520 23095 1,2841 1
"Rolta India slips 6%, cuts losses after [TGT] upgrade",neutral,2158 40 17 9 1547 7560 7 3 6370 6 8620 8467 227 32100 5941 1,7163 1
"Relaxo more attractive than Bata: Amit Khurana, Co-Head Equites & Head of Research, [TGT]",neutral,22877 32 72 5250 145 8897 9 10 71 1538 13495 2414 29 9 6 638 18 3845 9 26 21263 1422 3 184 3642 13 2200 6 32100 1,7163 1
[TGT] FY-11 net profit up 30.19% at Rs 134.34 crore,positive,32100 23263 9169 3134 3199 95 220 16029 7561 44 11715 3 23747 5 3710 23095 1,1465 1
"[TGT] rangebound, Nifty holds 7600; top 10 trading bets",neutral,32100 620 6115 6 445 21822 4532 489 6007 117 420 335 3415 36 17 7 1,7163 1
Whats brewing: Coffee exporter [TGT] looks strong after 155% rally,positive,363 7 3 24702 10 10429 4202 49 32100 1416 1101 227 627 2712 13980 1,1465 1
[TGT] yield off 13-month low on profit-booking,negative,32100 6339 326 1179 18 7393 731 30 3199 18 2567 53 1,2841 1
Two [TGT] subsidiaries get investment adviser licence,neutral,2759 32100 28382 129 1729 17013 11629 1,7163 1
"Now, you can own shares of [TGT], InterGlobe Aviation",neutral,852 6 25 54 293 4776 13 32100 3 6 3037 517 11846 15 22102 1,7163 1
"[TGT] currency derivatives turnover crosses Rs 2,000 cr mark",positive,32100 7481 21875 7 17847 26932 11715 3 8630 5764 3946 1,1465 1
"Too early to take a call on [TGT]s: Jitendra Mehta, Edelweiss",neutral,9647 778 12 240 3 9 580 30 32100 3 7 10 446 155 12524 1212 107 17 9 6 26003 13206 7 1,7163 1
"BPCL, [TGT] not a good buy at this juncture: Ashwani Gujral",negative,3 11165 8440 6 32100 59 3 9 207 805 44 48 3 6959 75 2693 10 7153 3877 23 2846 354 4900 1,2841 1
International Energy Agency sees low [TGT] prices until 2020,negative,1331 4654 7038 217 7 731 32100 1596 552 6503 1,2841 1
[TGT] Q3 net grows over 2-fold,positive,32100 1593 519 3134 13919 147 8401 10533 1,1465 1
"November 28, 2013: [TGT] report on rupee",neutral,1671 13719 2038 10 32100 934 30 24617 15 1,7163 1
"Deregulation of rate will create cost pressure on [TGT]: Dhiraj Agarwal, Standard Chartered Capital Markets",negative,374 27522 13 1080 56 482 583 1666 30 32100 3 10 309 9288 9 354 71 1478 5380 6 5150 3 28835 5826 3611 7 1,2841 1
[TGT] hits 52-week high post Q1 results,positive,32100 8046 9065 18 8041 306 442 1593 536 772 1,1465 1
Sanjiv Mediratta joins [TGT],neutral,1138 21391 208 11816 52 14748 1715 7 32100 1,7163 1
Improvement required in balance sheets of real estate cos: [TGT],neutral,22218 831 16 2109 8487 13 490 2052 576 7 10 32100 1,7163 1
"Hike in the freight rates is a bold, bold step by government: Pankaj Pandey, [TGT]",neutral,2018 1050 16 8 17746 1917 19 3 9 8197 6 8197 1147 57 789 10 4266 1258 354 4266 221 63 6 32100 1,7163 1
[TGT] Q3 net profit jumps over four-fold,positive,32100 1593 519 3134 3199 4418 7 147 662 18 10533 1,1465 1
Small investors may get bigger share in [TGT] floats,positive,4872 4367 164 129 4038 698 16 32100 3 12660 7 1,1465 1
"Euro, [TGT] slip as Greece set to reject austerity",negative,2430 6 32100 7560 38 12263 356 12 15092 403 449 485 1,2841 1
"BPCL, HPCL good for selling: Devang Visaria, [TGT]",neutral,3 11165 8440 6 5481 8440 207 21 3014 10 374 2132 122 13291 6286 6 32100 1,7163 1
[TGT] now the most expensive cooking oil in India,positive,32100 230 8 167 2881 3875 1043 16 1547 1,1465 1
[TGT] Q4 net up 23% to Rs 197.78 crore,positive,32100 1593 591 3134 95 204 5170 12 11715 3 27181 5 3940 23095 1,1465 1
"Buyers waiting for better times ahead for banking stocks: Deven Choksey, [TGT]",neutral,19099 7 2794 21 394 648 2177 21 8175 10145 10 374 1926 6285 157 7 15 63 6 32100 1,7163 1
Adequate stocks drag down [TGT] futures by 0.51%,negative,1980 25875 10145 5439 323 32100 647 7 57 3 12100 4704 1,2841 1
[TGT] shares gain 8 per cent after report it may be taken private,positive,32100 4776 2485 505 399 3151 227 934 34 164 36 1026 1045 1,1465 1
"[TGT] wobbles before Greek vote, Greek shares tumble",negative,32100 2275 7310 7 274 6781 2902 6 6781 4776 26565 1,2841 1
[TGT] Q2 net up 81 per cent to Rs 174.49 crore,positive,32100 1593 357 3134 95 3 4959 399 3151 12 11715 3 27693 5 3647 23095 1,1465 1
"[TGT] at new record levels on FII flows, global trend",positive,32100 44 126 1368 1425 30 3 4936 196 14428 6 1252 4166 1,1465 1
"Russia's [TGT] weaker on Monday, oil outweighs taxes",negative,4623 31 7 32100 5676 49 30 2089 6 1043 91 1123 9031 7 5161 1,2841 1
[TGT] Q3 net profit dips by 21% to Rs 24.43 cr,negative,32100 1593 519 3134 3199 10823 7 57 204 4704 12 11715 997 5 4906 5764 1,2841 1
SAT sets aside fine imposed by SEBI on [TGT] and GHCL,neutral,3 17517 3369 5915 1399 3 16068 57 5985 5972 30 32100 11 3 14100 8440 1,7163 1
Why [TGT] churn matters to investors,neutral,1615 32100 3 524 450 29 4573 12 4367 1,7163 1
Public offers feel heat of sliding [TGT] in 2011,negative,2575 704 473 1678 13 13441 32100 16 2722 1,2841 1
Indraprastha Gas corrects as [TGT] defers decision,neutral,86 3515 5319 7 189 9 6435 2024 7 38 32100 20 1010 7 1357 1,7163 1
Rise in healthcare stocks lifts [TGT],positive,24103 16 4640 10145 5656 7 32100 1,1465 1
"Low oil price, strong rupee to reduce fiscal deficit: [TGT]",neutral,5586 1043 594 6 1101 24617 15 12 1428 5043 11724 10 32100 1,7163 1
[TGT] net trebles with strong performance by JLR,positive,32100 3134 3 929 2296 7 28 1101 821 57 446 12564 1,1465 1
"[TGT], oil PSUs could contribute to markets inching higher: Deven Choksey",positive,32100 3 6 1043 276 4138 7 228 4139 12 3212 16 8509 1146 10 374 1926 6285 157 7 15 63 1,1465 1
Ten key takeaways from [TGT] Q1 results,neutral,4738 843 240 9 6415 45 32100 1593 536 772 1,7163 1
"Duncan Fertilisers acquisition wont have a major impact on [TGT] stock: Fayeza Hafizee, Intime Spectrum Securities",neutral,25108 7566 17 173 4901 7 6566 751 17 43 3 9 779 1113 30 32100 1519 10 1699 63 457 9 1626 89 1737 15 6 86 715 29998 20571 1,7163 1
[TGT] Q1 net up 11.83 per cent at Rs 187.52 crore,positive,32100 1593 536 3134 95 7806 4591 399 3151 44 11715 507 15731 357 23095 1,1465 1
"Punj Lloyd, [TGT] in fray for Rs 16,800 cr defense order; stocks rally",positive,18266 354 21847 6 32100 16 8072 63 21 11715 11940 6192 5764 4453 455 117 10145 13980 1,1465 1
"[TGT] mixed, underpinned by solid 5-year auction results",neutral,32100 4838 6 365 29320 57 1973 7670 1201 8493 772 1,7163 1
[TGT] Q3 Net declines 70.6% at Rs 50.46 cr,negative,32100 1593 519 6540 7198 7 2861 5 6370 44 11715 943 5 4448 5764 1,2841 1
[TGT] hits 8-month high despite worries over economy,positive,32100 8046 505 18 7393 306 3 3565 17168 147 2717 1,1465 1
Hard to say if the rebound in the [TGT] will sustain or not: Ashwani Gujral,neutral,6424 12 497 3 99 8 20756 16 8 32100 56 12666 42 59 10 7153 3877 23 2846 354 4900 1,7163 1
Higher FPI limit to help Maruti drive into [TGT],neutral,16808 377 4111 2006 12 199 1534 6830 23 1262 139 32100 1,7163 1
"[TGT] trims initial losses, trades at 62.35 vs dlr",negative,32100 6228 7 2332 8467 6 1668 7 44 3 4056 5 2469 3 208 7 3 26 40 52 1,2841 1
Raghuram Rajan's 'rate-cut' talk cheer markets; [TGT] rallies,positive,22939 10666 265 13509 152 31 7 3 31 2206 18 3044 31 1350 11288 3212 117 32100 26930 7 1,1465 1
[TGT] post best day in 4-weeks; won closes weaker,positive,32100 442 200 239 16 7769 8041 7 117 751 885 7 5676 49 1,1465 1
More trouble for FTIL as [TGT] holds back payment,neutral,1537 3169 21 3 6245 3502 38 32100 4532 223 1942 1,7163 1
"IOC, HPCL, BPCL rally; medium-to-long term story intact for OMCs: [TGT]",neutral,27 5618 6 5481 8440 6 3 11165 8440 13980 117 2768 18 235 18 2961 1657 733 17722 21 411 3698 7 10 32100 1,7163 1
[TGT] replaces HUL as JPMorgan top stock to avoid,negative,32100 3601 7 454 4254 38 446 6218 11127 420 1519 12 1792 1,2841 1
[TGT]'s stock zooms 10-fold on turnaround,positive,32100 3 31 7 1519 15305 7 9445 10533 30 26547 1,1465 1
"[TGT] soars 7% after placing Rs 23,000-crore Boeing order",positive,32100 78 291 7 3 6170 227 9308 11715 204 11212 18 2771 60 21430 455 1,1465 1
Man Jit Singh named president of [TGT] home entertainment division,neutral,1140 446 155 16738 2650 2753 13 32100 234 4527 4889 1,7163 1
[TGT] ropes in Citigroup to find buyers for stake in Sharekhan: Sources,neutral,32100 13888 7 16 17795 10739 12 253 6094 21 8474 16 7105 157 2618 10 9149 7 1,7163 1
"Would stick to banking: Girish Pai, [TGT]",neutral,5328 4372 12 8175 10 21210 1273 14697 6 32100 1,7163 1
Which one is a better bet? Hero MotoCorp or [TGT] in two wheeler space,neutral,4073 80 19 3 9 394 36 17 58 14953 18668 13026 102 42 32100 16 192 5094 49 628 1,7163 1
"Prices of agricultural commodities, [TGT] expected to rise 14%",positive,16511 13 10687 27592 6 32100 1644 12 3098 209 5988 1,1465 1
[TGT] profit up 3-fold at Rs 808 cr,positive,32100 3199 95 5354 10533 44 11715 505 4018 5764 1,1465 1
[TGT] reports net loss of Rs 371.25 crore in Q4,neutral,32100 2279 3134 1453 13 11715 6862 10917 755 23095 16 1593 591 1,7163 1
"Investor should focus on [TGT] rather than telecom players: Avinash Gorakshekar, Anagram Capital Ltd",positive,16873 225 992 30 32100 1066 145 21004 1508 10 71 2494 3198 1263 9782 7 88 4031 6 5331 5096 5826 3937 1,1465 1
"Another 100-150 correction on [TGT] is possible: Ashwani Gujral, Ashwanigujral.com",positive,2351 910 18 12278 11698 30 32100 19 487 10 7153 3877 23 2846 354 4900 6 7153 3877 23 1744 354 4900 5 287 1,1465 1
"Citigroup, HSBC Securities, [TGT] among 5 bankers to manage ONGC share sale",neutral,17795 10739 6 3 4950 7645 20571 6 32100 859 305 2137 277 12 1865 3 15628 254 698 1048 1,7163 1
Sistema deal will help [TGT] launch 4G services later on: Nitin Soni,positive,30767 9 1154 56 199 32100 3289 314 517 364 865 30 10 2504 17 77 3885 23 1,1465 1
Venus Remedies slips over 16% post [TGT] downgrade,neutral,22301 13466 15 7719 7560 7 147 209 6370 442 32100 323 6801 1,7163 1
Emkay raises [TGT] target price to Rs 1075,positive,3967 18075 3033 7 32100 2387 594 12 11715 335 3072 1,1465 1
"Offshore India [TGT]s pull money out in July, first time in 16 months; sell equities worth Rs 750 crore",negative,4395 13303 1547 32100 3 7 3197 540 91 16 1718 6 166 97 16 898 767 117 1789 3 15 1169 3010 1494 11715 3 9979 23095 1,2841 1
[TGT] to rematerialise e-series contracts from April 12 onwards,neutral,32100 12 3 60 11303 159 15 3 15 18 10833 7 8201 45 1186 586 30 2239 7 1,7163 1
Here why Devi Shetty of [TGT] is looking to hit Dalal Street,neutral,947 572 24434 4488 16142 13 32100 19 479 12 1560 10729 138 1887 1,7163 1
FY16 not a good year for large drug makers; prefer [TGT]: Hemindra Hazari,positive,23263 2938 59 3 9 207 215 21 508 2672 13730 117 2396 32100 3 10 216 1109 3515 1626 7061 23 1,1465 1
"Process for selecting CIL CMD begins,[TGT] invites applications",neutral,10272 21 9581 205 3502 205 11731 4396 6 32100 5484 7 1564 1,7163 1
"Market can see a fall post [TGT] IPO: Ambareesh Baliga, Karvy",negative,3611 54 217 3 9 1590 442 32100 3 25470 10 736 5304 15 7 107 2659 17140 6 4556 208 63 1,2841 1
[TGT] hits record high on earnings,positive,32100 8046 1368 306 30 8783 1,1465 1
[TGT] initiates process to offload PSU bank's stake in the company: Sources,neutral,32100 20108 7 433 12 326 7134 276 4138 2137 31 7 8474 16 8 349 10 9149 7 1,7163 1
"[TGT], realty, bank stocks trading mixed ahead of RBI policy meet",neutral,32100 3 6 490 17 63 6 2137 10145 3415 4838 2177 13 19979 1291 942 1,7163 1
[TGT] sees Rupee at 60-levels by December,neutral,32100 217 7 2770 855 15 44 1640 18 4563 7 57 1882 1,7163 1
Sector-wide consolidation and improving fundamentals will boost [TGT]'s valuation,positive,17832 18 6728 16690 11 4863 4431 7 56 4888 32100 3 31 7 18662 1,1465 1
[TGT] directs Kim Infra to refund public money within 3 months,neutral,32100 1223 7 6777 86 89 52 9 12 7147 452 540 441 220 767 1,7163 1
[TGT] Q1 PAT up 40 pc at Rs 61 cr,positive,32100 1593 536 276 5767 95 1283 3 102 75 44 11715 3 4241 5764 1,1465 1
"Gains in [TGT] limited, investors weigh QE3 impact",negative,22097 7 16 32100 1643 6 4367 11385 1593 427 519 1113 1,2841 1
[TGT] reports loss of Rs 15.66 crore in Q3,neutral,32100 2279 1453 13 11715 9996 3539 23095 16 1593 519 1,7163 1
AS Rao to join [TGT] as chief financial officer,neutral,6157 2922 32 12 1715 32100 38 5752 981 5502 1,7163 1
[TGT] yields end up tracking oil prices; biggest weekly rise in 2-1/2 months,positive,32100 6339 7 414 95 6418 1043 1596 117 2630 5547 3098 16 8401 17637 767 1,1465 1
[TGT] shines brightest among emerging markets,positive,32100 9567 7 2756 222 859 7821 3212 1,1465 1
"Consider [TGT] as a global play, to make portfolio look balanced: Ajay Bagga",neutral,9151 32100 38 3 9 1252 577 6 12 143 4833 320 8965 10 71 1191 63 8055 122 9 1,7163 1
Anant Goenka promoted as [TGT] MD,neutral,389 288 1263 35 1258 14742 38 32100 8530 1,7163 1
[TGT] plunges more than 2% as Q3 net profit declines by 34%,negative,32100 20593 7 72 145 3 5406 38 1593 519 3134 3199 7198 7 57 220 5988 1,2841 1
[TGT] lists at Rs 588 on BSE post Grasim demerger,neutral,32100 7809 44 11715 305 4060 30 272 4132 442 3 4744 7 603 340 49 1304 1,7163 1
"2G impact: [TGT], Idea, RCom rally upto 4% as auction concludes",positive,204 517 1113 10 32100 3 6 22834 6 391 5890 13980 95 235 3 5988 38 8493 12692 7 1,1465 1
"[TGT]@new high: 5 reasons why bears, not bulls, should be smiling",positive,32100 3320 5534 306 10 305 2081 572 4595 7 6 59 8434 7 6 225 36 20770 1,1465 1
Stock-specific action likely on [TGT] counters: Nitin Raheja,neutral,6394 18 9500 1041 952 30 32100 3485 7 10 2504 17 77 20492 15 1191 1,7163 1
[TGT] expands share sale plan,neutral,32100 4405 7 698 1048 515 1,7163 1
"Prices of [TGT], soyabean dip on improved monsoon",negative,16511 13 32100 3 6 78 63 9 346 152 10823 30 3798 1911 7 32 106 1,2841 1
Volatile markets end higher; [TGT] closes higher by 185 points,positive,4969 9 8806 3212 414 1146 117 32100 885 7 1146 57 3 21594 979 1,1465 1
[TGT] posts Rs 166.77 crore net profit in 2013,neutral,32100 3489 11715 3 26811 5 4013 23095 3134 3199 16 2038 1,7163 1
"Sensex ends the day below 26,000; TCS, [TGT] big losers",negative,3 19003 226 5542 8 239 666 204 14835 117 332 4778 6 32100 600 10381 277 1,2841 1
[TGT] shares zoom over 19% on pact with German firm,positive,32100 4776 15305 147 957 1454 30 3 5379 17 28 2968 1669 1,1465 1
[TGT] drops 300 points as US stocks plunge,negative,32100 11784 3147 979 38 837 10145 20593 1,2841 1
[TGT] gains 93 points,positive,32100 11391 3 4271 979 1,1465 1
Can Nifty hit 7100? Bear mood grips [TGT],negative,1072 445 21822 1560 489 2915 58 9034 6526 7411 7 32100 1,2841 1
[TGT] shares fall; Credit Suisse downgrades,negative,32100 4776 1590 117 6529 20775 323 6801 7 1,2841 1
"[TGT] driven by expectation of a reformist government, says Vijai Mantri",neutral,32100 6737 57 18775 13 3 9 5139 343 789 6 845 1813 1191 23 1140 1788 1,7163 1
"India valuations are less compelling, says [TGT]",neutral,1547 18662 7 33 705 12803 6 845 32100 1,7163 1
"July 1, 2014: [TGT] report on Rupee",neutral,1718 1914 1412 10 32100 934 30 2770 855 15 1,7163 1
[TGT] hits upper circuit limit; jumps 5%,positive,32100 8046 4548 4558 2006 117 4418 7 3 2712 1,1465 1
"[TGT], small-cap rally may boost mutual funds inflows",positive,32100 3 6 422 18 4010 13980 164 4888 8543 2731 16 7631 7 1,1465 1
[TGT] should regulate global central banks: Raghuram Rajan,neutral,32100 225 16363 1252 2069 5028 10 22939 10666 265 13509 152 1,7163 1
[TGT] raises 583 cr via QIP issue,positive,32100 3033 7 305 4591 5764 1009 1593 4629 962 1,1465 1
How [TGT] are looking to woo and retain young talent,neutral,571 32100 33 479 12 3 14952 11 7365 1021 3683 1,7163 1
[TGT] loses lustre in spot market,negative,32100 2615 7 3 10008 60 16 2140 512 1,2841 1
[TGT] surges as Motilal Oswal sees 50% upside,positive,32100 18787 7 38 1290 17 173 138 411 7 5380 217 7 5743 19118 1,1465 1
See 50-60% upside potential in [TGT]: Daljeet Singh Kohli,positive,1610 943 19516 1454 19118 1055 16 32100 3 10 10729 1924 15 17 16738 16157 23 1,1465 1
Arun Katiyar joins [TGT] as venture catalyst,neutral,71 4312 7482 23 63 291 1715 7 32100 38 6086 24170 1,7163 1
"Major increase in support price for paddy, moong, tur & [TGT] likely",positive,9236 993 16 380 594 21 2576 8155 6 8114 122 6 3 2905 3 184 32100 952 1,1465 1
[TGT] to have 10 stocks from May 29,neutral,32100 12 43 335 10145 45 932 2838 1,7163 1
Which [TGT] should you bet on?,neutral,4073 32100 225 25 36 17 30 58 1,7163 1
[TGT] reverses gains after weak manufacturing data,negative,32100 7211 7 11391 227 5676 3732 331 1,2841 1
BSE to take 'appropriate action' on Sebi order in [TGT] case,neutral,272 4132 12 240 3 31 18591 342 1041 31 30 679 115 23 455 16 32100 495 1,7163 1
[TGT] on the lenders for superb returns in 2016,neutral,32100 30 8 14813 21 7857 5146 16 1421 1,7163 1
How to play [TGT] stock ahead of Q4 results,neutral,571 12 577 32100 1519 2177 13 1593 591 772 1,7163 1
"[TGT] dips on caution ahead of bank stress test results, yen firm",negative,32100 10823 7 30 14291 2177 13 2137 2189 794 772 6 3 63 35 1669 1,2841 1
"[TGT] rallies 17%, hits 52-week high on plans to reward shareholders",positive,32100 26930 7 209 6170 6 8046 9065 18 8041 306 30 1390 12 9676 17780 1,1465 1
[TGT] stays close to six-year-highs after robust UK data,positive,32100 13628 885 12 1296 18 1201 18 6739 7 227 6268 1270 331 1,1465 1
"July 31, 2014: Mecklai Financial report on [TGT]",neutral,1718 12074 1412 10 1212 75 8142 23 5421 934 30 32100 1,7163 1
